Status,Priority,Event Name,Start Date,End Date,Date Confidence,City,Country,Region,Category,Focus / Why It Matters,Website,Publish on Site?,Notes
Upcoming,Tier 2,LEAP 2026,2026-08-31,2026-09-03,Confirmed (official site),Riyadh,Saudi Arabia,MENA,Tech Expo,"Saudi tech & AI mega-event; Gulf buyers actively sourcing South Asian delivery",https://onegiantleap.com/,Verify,"DATE CONFLICT: official site shows Aug/Sep 2026 while third-party listings show Feb 2027 - verify before publishing"
Upcoming,Tier 1,Shared Services & Outsourcing Week Asia (29th),2026-10-01,,Month only (Oct 2026),TBC,Singapore / Malaysia,APAC,Outsourcing / GBS,"Regional shared services & GBS leaders; offshore delivery buyers",https://www.ssonetwork.com/events-ssowasia,Yes,Exact dates not yet published
Upcoming,Tier 2,Web Summit Lisbon 2026,2026-11-09,2026-11-12,Confirmed,Lisbon,Portugal,Europe,Tech Expo,"70k+ attendees; startup and enterprise tech buyers across Europe",https://websummit.com/,Yes,
Upcoming,Tier 2,GITEX Global 2026,2026-12-07,2026-12-11,Confirmed,Dubai,UAE,MENA,Tech Expo,"World's largest tech expo; cheapest-to-reach high-volume lead pool for BD vendors",https://www.gitex.com/gitex-global-2026,Yes,Scale Summit opens Dec 7; main exhibition Dec 8-11
Upcoming,Tier 1,Shared Services & BPO Week Philippines (16th),,,TBC (2026),Manila,Philippines,APAC,Outsourcing / BPO,"BPO operations and contact centre leaders in Asia's largest BPO market",https://www.ssonetwork.com/events-ssophilippines,Hold,Dates unannounced - confirm before publishing
Upcoming,Tier 1,BPO Innovation Summit & Awards (18th),,,TBC (2026),TBC,India,South Asia,Outsourcing / BPM,"BPO/BPM innovation and industry awards; nearest major regional peer market",https://bpotech.in/,Hold,Dates unannounced
Upcoming,Tier 2,Web Summit Qatar 2027,2027-01-31,2027-02-03,Confirmed,Doha,Qatar,MENA,Tech Expo,"Gulf tech and startup capital; growing outsourcing demand",https://qatar.websummit.com/,Yes,Doha Exhibition and Convention Center
Upcoming,Tier 2,MWC Barcelona 2027,2027-03-01,2027-03-04,Confirmed,Barcelona,Spain,Europe,Tech Expo,"Telco/connectivity and enterprise IT services procurement",https://www.mwcbarcelona.com/,Yes,
Upcoming,Tier 1,CCW Europe 2027,2027-03-03,2027-03-05,Confirmed,London,United Kingdom,Europe,Contact Centre / CX,"Contact centre and CX outsourcing buyers in the UK/EU",https://europe.customercontactweekdigital.com/events,Yes,
Upcoming,Tier 1,Shared Services & Outsourcing Week (SSOW) North America 2027,2027-03-08,2027-03-11,Confirmed,Orlando,United States,North America,Outsourcing / GBS,"1200+ SSO and GBS leaders - one of the highest-density buyer rooms in the industry",https://www.ssonetwork.com/events-shared-services-week,Yes,TOP 3 RECOMMENDATION
Upcoming,Tier 1,CCW Australia & New Zealand 2027,2027-03-10,2027-03-11,Confirmed,Sydney,Australia,APAC,Contact Centre / CX,"ANZ customer service outsourcing buyers; favourable timezone overlap with BD",https://www.customercontactweekdigital.com/events-customercontactweek-au,Yes,
Upcoming,Tier 1,IAOP Outsourcing World Summit (OWS27),2027-04-27,2027-04-29,Confirmed,Chicago,United States,North America,Outsourcing,"The flagship global outsourcing conference - GBS, governance, AI, future of work",https://www.iaop.org/summit,Yes,TOP 3 RECOMMENDATION
Upcoming,Tier 2,GITEX AI Asia 2027,2027-04-29,2027-04-30,Confirmed,Singapore,Singapore,APAC,Tech Expo,"Asia's largest tech/AI/startup event; APAC client acquisition",https://gitexasia.com/,Yes,Marina Bay Sands
Upcoming,Tier 1,Shared Services & Outsourcing Week Europe (27th),2027-05-10,2027-05-13,Confirmed,Estoril,Portugal,Europe,Outsourcing / GBS,"Largest gathering of European shared services and GBS decision makers",https://www.ssonetwork.com/events-ssoweek,Yes,Estoril Congress Centre
Upcoming,Tier 1,Future of BPO Shared Services & GBS (4th),2027-06-01,,Month only (Jun 2027),Prague,Czech Republic,Europe,Outsourcing / GBS,"CFO and GBS leaders; agentic AI and automation in business services",https://fobpossgbs.com/,Hold,2026 edition ran 9-10 June - 2027 dates expected similar
Upcoming,Tier 2,GITEX AI Europe 2027,2027-06-01,,Month only (Jun 2027),Berlin,Germany,Europe,Tech Expo,"European tech and AI buyers",https://www.gitexeurope.com/,Hold,3rd annual edition; exact dates and venue unconfirmed
Upcoming,Tier 2,GITEX Global 2027,,,TBC (Q4 2027),Dubai,UAE,MENA,Tech Expo,"World's largest tech expo - 2027 edition",https://www.gitex.com/,Hold,Dates unannounced
Upcoming,Tier 2,Web Summit Lisbon 2027,,,TBC (Nov 2027),Lisbon,Portugal,Europe,Tech Expo,"2027 edition of Europe's largest tech conference",https://websummit.com/,Hold,Dates unannounced
Upcoming,Tier 1,Smart Outsourcing Summit,,,TBC,TBC,Europe,Europe,Outsourcing,"Invitation-only buyer-provider matchmaking across onshore, nearshore and offshore models",https://www.smartoutsourcingsummit.com/,Hold,Invitation only - apply in advance
Upcoming,Home Market,BASIS SoftExpo 2027,,,TBC (2027),Dhaka,Bangladesh,South Asia,National ICT Expo,"Bangladesh's largest ICT expo; where inbound buyer delegations meet BD vendors",https://basis.org.bd/event-details/basis-softexpo,Hold,Not global but a key home-market anchor for the calendar
